Activation,Size (B),Last Fwd Use,First Bwd Use,Idle Gap,Recomp Ops,Recomp (ms)
getitem_29,0,N/A,cudnn_batch_norm_backward_148,-1,1,0.6014
getitem_31,1024,N/A,cudnn_batch_norm_backward_147,-1,1,2.7443
getitem_32,1024,N/A,cudnn_batch_norm_backward_147,-1,1,2.7443
getitem_33,0,N/A,cudnn_batch_norm_backward_147,-1,1,2.7443
getitem_35,256,N/A,cudnn_batch_norm_backward_146,-1,1,0.5959
getitem_36,256,N/A,cudnn_batch_norm_backward_146,-1,1,0.5959
getitem_37,0,N/A,cudnn_batch_norm_backward_146,-1,1,0.5959
getitem_39,256,N/A,cudnn_batch_norm_backward_145,-1,1,0.6130
getitem_40,256,N/A,cudnn_batch_norm_backward_145,-1,1,0.6130
getitem_41,0,N/A,cudnn_batch_norm_backward_145,-1,1,0.6130
getitem_43,1024,N/A,cudnn_batch_norm_backward_144,-1,1,2.7510
getitem_44,1024,N/A,cudnn_batch_norm_backward_144,-1,1,2.7510
getitem_45,0,N/A,cudnn_batch_norm_backward_144,-1,1,2.7510
getitem_47,512,N/A,cudnn_batch_norm_backward_143,-1,1,1.3339
getitem_48,512,N/A,cudnn_batch_norm_backward_143,-1,1,1.3339
getitem_49,0,N/A,cudnn_batch_norm_backward_143,-1,1,1.3339
getitem_51,512,N/A,cudnn_batch_norm_backward_142,-1,1,0.1809
getitem_52,512,N/A,cudnn_batch_norm_backward_142,-1,1,0.1809
getitem_53,0,N/A,cudnn_batch_norm_backward_142,-1,1,0.1809
getitem_55,2048,N/A,cudnn_batch_norm_backward_141,-1,1,1.2742
getitem_56,2048,N/A,cudnn_batch_norm_backward_141,-1,1,1.2742
getitem_57,0,N/A,cudnn_batch_norm_backward_141,-1,1,1.2742
getitem_59,2048,N/A,cudnn_batch_norm_backward_140,-1,1,1.2168
getitem_60,2048,N/A,cudnn_batch_norm_backward_140,-1,1,1.2168
getitem_61,0,N/A,cudnn_batch_norm_backward_140,-1,1,1.2168
getitem_63,512,N/A,cudnn_batch_norm_backward_139,-1,1,0.1857
getitem_64,512,N/A,cudnn_batch_norm_backward_139,-1,1,0.1857
getitem_65,0,N/A,cudnn_batch_norm_backward_139,-1,1,0.1857
getitem_67,512,N/A,cudnn_batch_norm_backward_138,-1,1,0.1703
getitem_68,512,N/A,cudnn_batch_norm_backward_138,-1,1,0.1703
getitem_69,0,N/A,cudnn_batch_norm_backward_138,-1,1,0.1703
getitem_71,2048,N/A,cudnn_batch_norm_backward_137,-1,1,1.3329
getitem_72,2048,N/A,cudnn_batch_norm_backward_137,-1,1,1.3329
getitem_73,0,N/A,cudnn_batch_norm_backward_137,-1,1,1.3329
getitem_75,512,N/A,cudnn_batch_norm_backward_136,-1,1,0.1891
getitem_76,512,N/A,cudnn_batch_norm_backward_136,-1,1,0.1891
getitem_77,0,N/A,cudnn_batch_norm_backward_136,-1,1,0.1891
getitem_79,512,N/A,cudnn_batch_norm_backward_135,-1,1,0.1658
getitem_80,512,N/A,cudnn_batch_norm_backward_135,-1,1,0.1658
getitem_81,0,N/A,cudnn_batch_norm_backward_135,-1,1,0.1658
getitem_83,2048,N/A,cudnn_batch_norm_backward_134,-1,1,1.2947
getitem_84,2048,N/A,cudnn_batch_norm_backward_134,-1,1,1.2947
getitem_85,0,N/A,cudnn_batch_norm_backward_134,-1,1,1.2947
getitem_87,512,N/A,cudnn_batch_norm_backward_133,-1,1,0.1898
getitem_88,512,N/A,cudnn_batch_norm_backward_133,-1,1,0.1898
getitem_89,0,N/A,cudnn_batch_norm_backward_133,-1,1,0.1898
getitem_91,512,N/A,cudnn_batch_norm_backward_132,-1,1,0.1676
getitem_92,512,N/A,cudnn_batch_norm_backward_132,-1,1,0.1676
getitem_93,0,N/A,cudnn_batch_norm_backward_132,-1,1,0.1676
getitem_95,2048,N/A,cudnn_batch_norm_backward_131,-1,1,1.3289
getitem_96,2048,N/A,cudnn_batch_norm_backward_131,-1,1,1.3289
getitem_97,0,N/A,cudnn_batch_norm_backward_131,-1,1,1.3289
getitem_99,512,N/A,cudnn_batch_norm_backward_130,-1,1,0.1877
getitem_100,512,N/A,cudnn_batch_norm_backward_130,-1,1,0.1877
getitem_101,0,N/A,cudnn_batch_norm_backward_130,-1,1,0.1877
getitem_103,512,N/A,cudnn_batch_norm_backward_129,-1,1,0.1645
getitem_104,512,N/A,cudnn_batch_norm_backward_129,-1,1,0.1645
getitem_105,0,N/A,cudnn_batch_norm_backward_129,-1,1,0.1645
getitem_107,2048,N/A,cudnn_batch_norm_backward_128,-1,1,1.2957
getitem_108,2048,N/A,cudnn_batch_norm_backward_128,-1,1,1.2957
getitem_109,0,N/A,cudnn_batch_norm_backward_128,-1,1,1.2957
getitem_111,512,N/A,cudnn_batch_norm_backward_127,-1,1,0.1840
getitem_112,512,N/A,cudnn_batch_norm_backward_127,-1,1,0.1840
getitem_113,0,N/A,cudnn_batch_norm_backward_127,-1,1,0.1840
getitem_115,512,N/A,cudnn_batch_norm_backward_126,-1,1,0.1635
getitem_116,512,N/A,cudnn_batch_norm_backward_126,-1,1,0.1635
getitem_117,0,N/A,cudnn_batch_norm_backward_126,-1,1,0.1635
getitem_119,2048,N/A,cudnn_batch_norm_backward_125,-1,1,1.3103
getitem_120,2048,N/A,cudnn_batch_norm_backward_125,-1,1,1.3103
getitem_121,0,N/A,cudnn_batch_norm_backward_125,-1,1,1.3103
getitem_123,512,N/A,cudnn_batch_norm_backward_124,-1,1,0.1891
getitem_124,512,N/A,cudnn_batch_norm_backward_124,-1,1,0.1891
getitem_125,0,N/A,cudnn_batch_norm_backward_124,-1,1,0.1891
getitem_127,512,N/A,cudnn_batch_norm_backward_123,-1,1,0.1775
getitem_128,512,N/A,cudnn_batch_norm_backward_123,-1,1,0.1775
getitem_129,0,N/A,cudnn_batch_norm_backward_123,-1,1,0.1775
getitem_131,2048,N/A,cudnn_batch_norm_backward_122,-1,1,1.3155
getitem_132,2048,N/A,cudnn_batch_norm_backward_122,-1,1,1.3155
getitem_133,0,N/A,cudnn_batch_norm_backward_122,-1,1,1.3155
getitem_135,512,N/A,cudnn_batch_norm_backward_121,-1,1,0.1857
getitem_136,512,N/A,cudnn_batch_norm_backward_121,-1,1,0.1857
getitem_137,0,N/A,cudnn_batch_norm_backward_121,-1,1,0.1857
getitem_139,512,N/A,cudnn_batch_norm_backward_120,-1,1,0.1669
getitem_140,512,N/A,cudnn_batch_norm_backward_120,-1,1,0.1669
getitem_141,0,N/A,cudnn_batch_norm_backward_120,-1,1,0.1669
getitem_143,2048,N/A,cudnn_batch_norm_backward_119,-1,1,1.2871
getitem_144,2048,N/A,cudnn_batch_norm_backward_119,-1,1,1.2871
getitem_145,0,N/A,cudnn_batch_norm_backward_119,-1,1,1.2871
getitem_147,1024,N/A,cudnn_batch_norm_backward_118,-1,1,0.5212
getitem_148,1024,N/A,cudnn_batch_norm_backward_118,-1,1,0.5212
getitem_149,0,N/A,cudnn_batch_norm_backward_118,-1,1,0.5212
getitem_151,1024,N/A,cudnn_batch_norm_backward_117,-1,1,0.0870
getitem_152,1024,N/A,cudnn_batch_norm_backward_117,-1,1,0.0870
getitem_153,0,N/A,cudnn_batch_norm_backward_117,-1,1,0.0870
getitem_155,4096,N/A,cudnn_batch_norm_backward_116,-1,1,0.4359
getitem_156,4096,N/A,cudnn_batch_norm_backward_116,-1,1,0.4359
getitem_157,0,N/A,cudnn_batch_norm_backward_116,-1,1,0.4359
getitem_159,4096,N/A,cudnn_batch_norm_backward_115,-1,1,0.4525
getitem_160,4096,N/A,cudnn_batch_norm_backward_115,-1,1,0.4525
getitem_161,0,N/A,cudnn_batch_norm_backward_115,-1,1,0.4525
getitem_163,1024,N/A,cudnn_batch_norm_backward_114,-1,1,0.0870
getitem_164,1024,N/A,cudnn_batch_norm_backward_114,-1,1,0.0870
getitem_165,0,N/A,cudnn_batch_norm_backward_114,-1,1,0.0870
getitem_167,1024,N/A,cudnn_batch_norm_backward_113,-1,1,0.0853
getitem_168,1024,N/A,cudnn_batch_norm_backward_113,-1,1,0.0853
getitem_169,0,N/A,cudnn_batch_norm_backward_113,-1,1,0.0853
getitem_171,4096,N/A,cudnn_batch_norm_backward_112,-1,1,0.4383
getitem_172,4096,N/A,cudnn_batch_norm_backward_112,-1,1,0.4383
getitem_173,0,N/A,cudnn_batch_norm_backward_112,-1,1,0.4383
getitem_175,1024,N/A,cudnn_batch_norm_backward_111,-1,1,0.0881
getitem_176,1024,N/A,cudnn_batch_norm_backward_111,-1,1,0.0881
getitem_177,0,N/A,cudnn_batch_norm_backward_111,-1,1,0.0881
getitem_179,1024,N/A,cudnn_batch_norm_backward_110,-1,1,0.0860
getitem_180,1024,N/A,cudnn_batch_norm_backward_110,-1,1,0.0860
getitem_181,0,N/A,cudnn_batch_norm_backward_110,-1,1,0.0860
getitem_183,4096,N/A,cudnn_batch_norm_backward_109,-1,1,0.4396
getitem_184,4096,N/A,cudnn_batch_norm_backward_109,-1,1,0.4396
getitem_185,0,N/A,cudnn_batch_norm_backward_109,-1,1,0.4396
getitem_187,1024,N/A,cudnn_batch_norm_backward_108,-1,1,0.0860
getitem_188,1024,N/A,cudnn_batch_norm_backward_108,-1,1,0.0860
getitem_189,0,N/A,cudnn_batch_norm_backward_108,-1,1,0.0860
getitem_191,1024,N/A,cudnn_batch_norm_backward_107,-1,1,0.2127
getitem_192,1024,N/A,cudnn_batch_norm_backward_107,-1,1,0.2127
getitem_193,0,N/A,cudnn_batch_norm_backward_107,-1,1,0.2127
getitem_195,4096,N/A,cudnn_batch_norm_backward_106,-1,1,0.4328
getitem_196,4096,N/A,cudnn_batch_norm_backward_106,-1,1,0.4328
getitem_197,0,N/A,cudnn_batch_norm_backward_106,-1,1,0.4328
getitem_199,1024,N/A,cudnn_batch_norm_backward_105,-1,1,0.0870
getitem_200,1024,N/A,cudnn_batch_norm_backward_105,-1,1,0.0870
getitem_201,0,N/A,cudnn_batch_norm_backward_105,-1,1,0.0870
getitem_203,1024,N/A,cudnn_batch_norm_backward_104,-1,1,0.0850
getitem_204,1024,N/A,cudnn_batch_norm_backward_104,-1,1,0.0850
getitem_205,0,N/A,cudnn_batch_norm_backward_104,-1,1,0.0850
getitem_207,4096,N/A,cudnn_batch_norm_backward_103,-1,1,0.4393
getitem_208,4096,N/A,cudnn_batch_norm_backward_103,-1,1,0.4393
getitem_209,0,N/A,cudnn_batch_norm_backward_103,-1,1,0.4393
getitem_211,1024,N/A,cudnn_batch_norm_backward_102,-1,1,0.0857
getitem_212,1024,N/A,cudnn_batch_norm_backward_102,-1,1,0.0857
getitem_213,0,N/A,cudnn_batch_norm_backward_102,-1,1,0.0857
getitem_215,1024,N/A,cudnn_batch_norm_backward_101,-1,1,0.0837
getitem_216,1024,N/A,cudnn_batch_norm_backward_101,-1,1,0.0837
getitem_217,0,N/A,cudnn_batch_norm_backward_101,-1,1,0.0837
getitem_219,4096,N/A,cudnn_batch_norm_backward_100,-1,1,0.4342
getitem_220,4096,N/A,cudnn_batch_norm_backward_100,-1,1,0.4342
getitem_221,0,N/A,cudnn_batch_norm_backward_100,-1,1,0.4342
getitem_223,1024,N/A,cudnn_batch_norm_backward_99,-1,1,0.0880
getitem_224,1024,N/A,cudnn_batch_norm_backward_99,-1,1,0.0880
getitem_225,0,N/A,cudnn_batch_norm_backward_99,-1,1,0.0880
getitem_227,1024,N/A,cudnn_batch_norm_backward_98,-1,1,0.0846
getitem_228,1024,N/A,cudnn_batch_norm_backward_98,-1,1,0.0846
getitem_229,0,N/A,cudnn_batch_norm_backward_98,-1,1,0.0846
getitem_231,4096,N/A,cudnn_batch_norm_backward_97,-1,1,0.4365
getitem_232,4096,N/A,cudnn_batch_norm_backward_97,-1,1,0.4365
getitem_233,0,N/A,cudnn_batch_norm_backward_97,-1,1,0.4365
getitem_235,1024,N/A,cudnn_batch_norm_backward_96,-1,1,0.0867
getitem_236,1024,N/A,cudnn_batch_norm_backward_96,-1,1,0.0867
getitem_237,0,N/A,cudnn_batch_norm_backward_96,-1,1,0.0867
getitem_239,1024,N/A,cudnn_batch_norm_backward_95,-1,1,0.0857
getitem_240,1024,N/A,cudnn_batch_norm_backward_95,-1,1,0.0857
getitem_241,0,N/A,cudnn_batch_norm_backward_95,-1,1,0.0857
getitem_243,4096,N/A,cudnn_batch_norm_backward_94,-1,1,0.4378
getitem_244,4096,N/A,cudnn_batch_norm_backward_94,-1,1,0.4378
getitem_245,0,N/A,cudnn_batch_norm_backward_94,-1,1,0.4378
getitem_247,1024,N/A,cudnn_batch_norm_backward_93,-1,1,0.0854
getitem_248,1024,N/A,cudnn_batch_norm_backward_93,-1,1,0.0854
getitem_249,0,N/A,cudnn_batch_norm_backward_93,-1,1,0.0854
getitem_251,1024,N/A,cudnn_batch_norm_backward_92,-1,1,0.0857
getitem_252,1024,N/A,cudnn_batch_norm_backward_92,-1,1,0.0857
getitem_253,0,N/A,cudnn_batch_norm_backward_92,-1,1,0.0857
getitem_255,4096,N/A,cudnn_batch_norm_backward_91,-1,1,0.4372
getitem_256,4096,N/A,cudnn_batch_norm_backward_91,-1,1,0.4372
getitem_257,0,N/A,cudnn_batch_norm_backward_91,-1,1,0.4372
getitem_259,1024,N/A,cudnn_batch_norm_backward_90,-1,1,0.0908
getitem_260,1024,N/A,cudnn_batch_norm_backward_90,-1,1,0.0908
getitem_261,0,N/A,cudnn_batch_norm_backward_90,-1,1,0.0908
getitem_263,1024,N/A,cudnn_batch_norm_backward_89,-1,1,0.0853
getitem_264,1024,N/A,cudnn_batch_norm_backward_89,-1,1,0.0853
getitem_265,0,N/A,cudnn_batch_norm_backward_89,-1,1,0.0853
getitem_267,4096,N/A,cudnn_batch_norm_backward_88,-1,1,0.4342
getitem_268,4096,N/A,cudnn_batch_norm_backward_88,-1,1,0.4342
getitem_269,0,N/A,cudnn_batch_norm_backward_88,-1,1,0.4342
getitem_271,1024,N/A,cudnn_batch_norm_backward_87,-1,1,0.0877
getitem_272,1024,N/A,cudnn_batch_norm_backward_87,-1,1,0.0877
getitem_273,0,N/A,cudnn_batch_norm_backward_87,-1,1,0.0877
getitem_275,1024,N/A,cudnn_batch_norm_backward_86,-1,1,0.0860
getitem_276,1024,N/A,cudnn_batch_norm_backward_86,-1,1,0.0860
getitem_277,0,N/A,cudnn_batch_norm_backward_86,-1,1,0.0860
getitem_279,4096,N/A,cudnn_batch_norm_backward_85,-1,1,0.4338
getitem_280,4096,N/A,cudnn_batch_norm_backward_85,-1,1,0.4338
getitem_281,0,N/A,cudnn_batch_norm_backward_85,-1,1,0.4338
getitem_283,1024,N/A,cudnn_batch_norm_backward_84,-1,1,0.0870
getitem_284,1024,N/A,cudnn_batch_norm_backward_84,-1,1,0.0870
getitem_285,0,N/A,cudnn_batch_norm_backward_84,-1,1,0.0870
getitem_287,1024,N/A,cudnn_batch_norm_backward_83,-1,1,0.0857
getitem_288,1024,N/A,cudnn_batch_norm_backward_83,-1,1,0.0857
getitem_289,0,N/A,cudnn_batch_norm_backward_83,-1,1,0.0857
getitem_291,4096,N/A,cudnn_batch_norm_backward_82,-1,1,0.4396
getitem_292,4096,N/A,cudnn_batch_norm_backward_82,-1,1,0.4396
getitem_293,0,N/A,cudnn_batch_norm_backward_82,-1,1,0.4396
getitem_295,1024,N/A,cudnn_batch_norm_backward_81,-1,1,0.0864
getitem_296,1024,N/A,cudnn_batch_norm_backward_81,-1,1,0.0864
getitem_297,0,N/A,cudnn_batch_norm_backward_81,-1,1,0.0864
getitem_299,1024,N/A,cudnn_batch_norm_backward_80,-1,1,0.0861
getitem_300,1024,N/A,cudnn_batch_norm_backward_80,-1,1,0.0861
getitem_301,0,N/A,cudnn_batch_norm_backward_80,-1,1,0.0861
getitem_303,4096,N/A,cudnn_batch_norm_backward_79,-1,1,0.4365
getitem_304,4096,N/A,cudnn_batch_norm_backward_79,-1,1,0.4365
getitem_305,0,N/A,cudnn_batch_norm_backward_79,-1,1,0.4365
getitem_307,1024,N/A,cudnn_batch_norm_backward_78,-1,1,0.0867
getitem_308,1024,N/A,cudnn_batch_norm_backward_78,-1,1,0.0867
getitem_309,0,N/A,cudnn_batch_norm_backward_78,-1,1,0.0867
getitem_311,1024,N/A,cudnn_batch_norm_backward_77,-1,1,0.0860
getitem_312,1024,N/A,cudnn_batch_norm_backward_77,-1,1,0.0860
getitem_313,0,N/A,cudnn_batch_norm_backward_77,-1,1,0.0860
getitem_315,4096,N/A,cudnn_batch_norm_backward_76,-1,1,0.4358
getitem_316,4096,N/A,cudnn_batch_norm_backward_76,-1,1,0.4358
getitem_317,0,N/A,cudnn_batch_norm_backward_76,-1,1,0.4358
getitem_319,1024,N/A,cudnn_batch_norm_backward_75,-1,1,0.0864
getitem_320,1024,N/A,cudnn_batch_norm_backward_75,-1,1,0.0864
getitem_321,0,N/A,cudnn_batch_norm_backward_75,-1,1,0.0864
getitem_323,1024,N/A,cudnn_batch_norm_backward_74,-1,1,0.0847
getitem_324,1024,N/A,cudnn_batch_norm_backward_74,-1,1,0.0847
getitem_325,0,N/A,cudnn_batch_norm_backward_74,-1,1,0.0847
getitem_327,4096,N/A,cudnn_batch_norm_backward_73,-1,1,0.4376
getitem_328,4096,N/A,cudnn_batch_norm_backward_73,-1,1,0.4376
getitem_329,0,N/A,cudnn_batch_norm_backward_73,-1,1,0.4376
getitem_331,1024,N/A,cudnn_batch_norm_backward_72,-1,1,0.0847
getitem_332,1024,N/A,cudnn_batch_norm_backward_72,-1,1,0.0847
getitem_333,0,N/A,cudnn_batch_norm_backward_72,-1,1,0.0847
getitem_335,1024,N/A,cudnn_batch_norm_backward_71,-1,1,0.0864
getitem_336,1024,N/A,cudnn_batch_norm_backward_71,-1,1,0.0864
getitem_337,0,N/A,cudnn_batch_norm_backward_71,-1,1,0.0864
getitem_339,4096,N/A,cudnn_batch_norm_backward_70,-1,1,0.4366
getitem_340,4096,N/A,cudnn_batch_norm_backward_70,-1,1,0.4366
getitem_341,0,N/A,cudnn_batch_norm_backward_70,-1,1,0.4366
getitem_343,1024,N/A,cudnn_batch_norm_backward_69,-1,1,0.0850
getitem_344,1024,N/A,cudnn_batch_norm_backward_69,-1,1,0.0850
getitem_345,0,N/A,cudnn_batch_norm_backward_69,-1,1,0.0850
getitem_347,1024,N/A,cudnn_batch_norm_backward_68,-1,1,0.0857
getitem_348,1024,N/A,cudnn_batch_norm_backward_68,-1,1,0.0857
getitem_349,0,N/A,cudnn_batch_norm_backward_68,-1,1,0.0857
getitem_351,4096,N/A,cudnn_batch_norm_backward_67,-1,1,0.4386
getitem_352,4096,N/A,cudnn_batch_norm_backward_67,-1,1,0.4386
getitem_353,0,N/A,cudnn_batch_norm_backward_67,-1,1,0.4386
getitem_355,1024,N/A,cudnn_batch_norm_backward_66,-1,1,0.0857
getitem_356,1024,N/A,cudnn_batch_norm_backward_66,-1,1,0.0857
getitem_357,0,N/A,cudnn_batch_norm_backward_66,-1,1,0.0857
getitem_359,1024,N/A,cudnn_batch_norm_backward_65,-1,1,0.0853
getitem_360,1024,N/A,cudnn_batch_norm_backward_65,-1,1,0.0853
getitem_361,0,N/A,cudnn_batch_norm_backward_65,-1,1,0.0853
getitem_363,4096,N/A,cudnn_batch_norm_backward_64,-1,1,0.4362
getitem_364,4096,N/A,cudnn_batch_norm_backward_64,-1,1,0.4362
getitem_365,0,N/A,cudnn_batch_norm_backward_64,-1,1,0.4362
getitem_367,1024,N/A,cudnn_batch_norm_backward_63,-1,1,0.0877
getitem_368,1024,N/A,cudnn_batch_norm_backward_63,-1,1,0.0877
getitem_369,0,N/A,cudnn_batch_norm_backward_63,-1,1,0.0877
getitem_371,1024,N/A,cudnn_batch_norm_backward_62,-1,1,0.0850
getitem_372,1024,N/A,cudnn_batch_norm_backward_62,-1,1,0.0850
getitem_373,0,N/A,cudnn_batch_norm_backward_62,-1,1,0.0850
getitem_375,4096,N/A,cudnn_batch_norm_backward_61,-1,1,0.4420
getitem_376,4096,N/A,cudnn_batch_norm_backward_61,-1,1,0.4420
getitem_377,0,N/A,cudnn_batch_norm_backward_61,-1,1,0.4420
getitem_379,1024,N/A,cudnn_batch_norm_backward_60,-1,1,0.0857
getitem_380,1024,N/A,cudnn_batch_norm_backward_60,-1,1,0.0857
getitem_381,0,N/A,cudnn_batch_norm_backward_60,-1,1,0.0857
getitem_383,1024,N/A,cudnn_batch_norm_backward_59,-1,1,0.0857
getitem_384,1024,N/A,cudnn_batch_norm_backward_59,-1,1,0.0857
getitem_385,0,N/A,cudnn_batch_norm_backward_59,-1,1,0.0857
getitem_387,4096,N/A,cudnn_batch_norm_backward_58,-1,1,0.4365
getitem_388,4096,N/A,cudnn_batch_norm_backward_58,-1,1,0.4365
getitem_389,0,N/A,cudnn_batch_norm_backward_58,-1,1,0.4365
getitem_391,1024,N/A,cudnn_batch_norm_backward_57,-1,1,0.0867
getitem_392,1024,N/A,cudnn_batch_norm_backward_57,-1,1,0.0867
getitem_393,0,N/A,cudnn_batch_norm_backward_57,-1,1,0.0867
getitem_395,1024,N/A,cudnn_batch_norm_backward_56,-1,1,0.1996
getitem_396,1024,N/A,cudnn_batch_norm_backward_56,-1,1,0.1996
getitem_397,0,N/A,cudnn_batch_norm_backward_56,-1,1,0.1996
getitem_399,4096,N/A,cudnn_batch_norm_backward_55,-1,1,0.4434
getitem_400,4096,N/A,cudnn_batch_norm_backward_55,-1,1,0.4434
getitem_401,0,N/A,cudnn_batch_norm_backward_55,-1,1,0.4434
getitem_403,1024,N/A,cudnn_batch_norm_backward_54,-1,1,0.0901
getitem_404,1024,N/A,cudnn_batch_norm_backward_54,-1,1,0.0901
getitem_405,0,N/A,cudnn_batch_norm_backward_54,-1,1,0.0901
getitem_407,1024,N/A,cudnn_batch_norm_backward_53,-1,1,0.0854
getitem_408,1024,N/A,cudnn_batch_norm_backward_53,-1,1,0.0854
getitem_409,0,N/A,cudnn_batch_norm_backward_53,-1,1,0.0854
getitem_411,4096,N/A,cudnn_batch_norm_backward_52,-1,1,0.4413
getitem_412,4096,N/A,cudnn_batch_norm_backward_52,-1,1,0.4413
getitem_413,0,N/A,cudnn_batch_norm_backward_52,-1,1,0.4413
getitem_415,1024,N/A,cudnn_batch_norm_backward_51,-1,1,0.0863
getitem_416,1024,N/A,cudnn_batch_norm_backward_51,-1,1,0.0863
getitem_417,0,N/A,cudnn_batch_norm_backward_51,-1,1,0.0863
getitem_419,1024,N/A,cudnn_batch_norm_backward_50,-1,1,0.0864
getitem_420,1024,N/A,cudnn_batch_norm_backward_50,-1,1,0.0864
getitem_421,0,N/A,cudnn_batch_norm_backward_50,-1,1,0.0864
getitem_423,4096,N/A,cudnn_batch_norm_backward_49,-1,1,0.4362
getitem_424,4096,N/A,cudnn_batch_norm_backward_49,-1,1,0.4362
getitem_425,0,N/A,cudnn_batch_norm_backward_49,-1,1,0.4362
getitem_427,1024,N/A,cudnn_batch_norm_backward_48,-1,1,0.0854
getitem_428,1024,N/A,cudnn_batch_norm_backward_48,-1,1,0.0854
getitem_429,0,N/A,cudnn_batch_norm_backward_48,-1,1,0.0854
getitem_431,1024,N/A,cudnn_batch_norm_backward_47,-1,1,0.0853
getitem_432,1024,N/A,cudnn_batch_norm_backward_47,-1,1,0.0853
getitem_433,0,N/A,cudnn_batch_norm_backward_47,-1,1,0.0853
getitem_435,4096,N/A,cudnn_batch_norm_backward_46,-1,1,0.4406
getitem_436,4096,N/A,cudnn_batch_norm_backward_46,-1,1,0.4406
getitem_437,0,N/A,cudnn_batch_norm_backward_46,-1,1,0.4406
getitem_439,1024,N/A,cudnn_batch_norm_backward_45,-1,1,0.0860
getitem_440,1024,N/A,cudnn_batch_norm_backward_45,-1,1,0.0860
getitem_441,0,N/A,cudnn_batch_norm_backward_45,-1,1,0.0860
getitem_443,1024,N/A,cudnn_batch_norm_backward_44,-1,1,0.0854
getitem_444,1024,N/A,cudnn_batch_norm_backward_44,-1,1,0.0854
getitem_445,0,N/A,cudnn_batch_norm_backward_44,-1,1,0.0854
getitem_447,4096,N/A,cudnn_batch_norm_backward_43,-1,1,0.4428
getitem_448,4096,N/A,cudnn_batch_norm_backward_43,-1,1,0.4428
getitem_449,0,N/A,cudnn_batch_norm_backward_43,-1,1,0.4428
getitem_451,1024,N/A,cudnn_batch_norm_backward_42,-1,1,0.0863
getitem_452,1024,N/A,cudnn_batch_norm_backward_42,-1,1,0.0863
getitem_453,0,N/A,cudnn_batch_norm_backward_42,-1,1,0.0863
getitem_455,1024,N/A,cudnn_batch_norm_backward_41,-1,1,0.0850
getitem_456,1024,N/A,cudnn_batch_norm_backward_41,-1,1,0.0850
getitem_457,0,N/A,cudnn_batch_norm_backward_41,-1,1,0.0850
getitem_459,4096,N/A,cudnn_batch_norm_backward_40,-1,1,0.4383
getitem_460,4096,N/A,cudnn_batch_norm_backward_40,-1,1,0.4383
getitem_461,0,N/A,cudnn_batch_norm_backward_40,-1,1,0.4383
getitem_463,1024,N/A,cudnn_batch_norm_backward_39,-1,1,0.0854
getitem_464,1024,N/A,cudnn_batch_norm_backward_39,-1,1,0.0854
getitem_465,0,N/A,cudnn_batch_norm_backward_39,-1,1,0.0854
getitem_467,1024,N/A,cudnn_batch_norm_backward_38,-1,1,0.0905
getitem_468,1024,N/A,cudnn_batch_norm_backward_38,-1,1,0.0905
getitem_469,0,N/A,cudnn_batch_norm_backward_38,-1,1,0.0905
getitem_471,4096,N/A,cudnn_batch_norm_backward_37,-1,1,0.4383
getitem_472,4096,N/A,cudnn_batch_norm_backward_37,-1,1,0.4383
getitem_473,0,N/A,cudnn_batch_norm_backward_37,-1,1,0.4383
getitem_475,1024,N/A,cudnn_batch_norm_backward_36,-1,1,0.0850
getitem_476,1024,N/A,cudnn_batch_norm_backward_36,-1,1,0.0850
getitem_477,0,N/A,cudnn_batch_norm_backward_36,-1,1,0.0850
getitem_479,1024,N/A,cudnn_batch_norm_backward_35,-1,1,0.0860
getitem_480,1024,N/A,cudnn_batch_norm_backward_35,-1,1,0.0860
getitem_481,0,N/A,cudnn_batch_norm_backward_35,-1,1,0.0860
getitem_483,4096,N/A,cudnn_batch_norm_backward_34,-1,1,0.4342
getitem_484,4096,N/A,cudnn_batch_norm_backward_34,-1,1,0.4342
getitem_485,0,N/A,cudnn_batch_norm_backward_34,-1,1,0.4342
getitem_487,1024,N/A,cudnn_batch_norm_backward_33,-1,1,0.0874
getitem_488,1024,N/A,cudnn_batch_norm_backward_33,-1,1,0.0874
getitem_489,0,N/A,cudnn_batch_norm_backward_33,-1,1,0.0874
getitem_491,1024,N/A,cudnn_batch_norm_backward_32,-1,1,0.0860
getitem_492,1024,N/A,cudnn_batch_norm_backward_32,-1,1,0.0860
getitem_493,0,N/A,cudnn_batch_norm_backward_32,-1,1,0.0860
getitem_495,4096,N/A,cudnn_batch_norm_backward_31,-1,1,0.4386
getitem_496,4096,N/A,cudnn_batch_norm_backward_31,-1,1,0.4386
getitem_497,0,N/A,cudnn_batch_norm_backward_31,-1,1,0.4386
getitem_499,1024,N/A,cudnn_batch_norm_backward_30,-1,1,0.0891
getitem_500,1024,N/A,cudnn_batch_norm_backward_30,-1,1,0.0891
getitem_501,0,N/A,cudnn_batch_norm_backward_30,-1,1,0.0891
getitem_503,1024,N/A,cudnn_batch_norm_backward_29,-1,1,0.0847
getitem_504,1024,N/A,cudnn_batch_norm_backward_29,-1,1,0.0847
getitem_505,0,N/A,cudnn_batch_norm_backward_29,-1,1,0.0847
getitem_507,4096,N/A,cudnn_batch_norm_backward_28,-1,1,0.4431
getitem_508,4096,N/A,cudnn_batch_norm_backward_28,-1,1,0.4431
getitem_509,0,N/A,cudnn_batch_norm_backward_28,-1,1,0.4431
