Activation,Size (B),Last Fwd Use,First Bwd Use,Idle Gap,Recomp Ops,Recomp (ms)
convolution_41,12845056,cudnn_batch_norm_41,cudnn_batch_norm_backward_113,1916,0,0.0000
relu__36,51380224,add__55,convolution_backward_114,1915,5,1.5662
relu__38,12845056,convolution_42,convolution_backward_112,1906,2,0.1126
convolution_42,51380224,cudnn_batch_norm_42,cudnn_batch_norm_backward_112,1900,0,0.0000
convolution_43,12845056,cudnn_batch_norm_43,cudnn_batch_norm_backward_111,1882,0,0.0000
relu__40,12845056,convolution_44,convolution_backward_110,1872,2,0.2317
convolution_44,12845056,cudnn_batch_norm_44,cudnn_batch_norm_backward_110,1866,0,0.0000
relu__39,51380224,add__59,convolution_backward_111,1865,3,1.0530
relu__41,12845056,convolution_45,convolution_backward_109,1856,2,0.1134
convolution_45,51380224,cudnn_batch_norm_45,cudnn_batch_norm_backward_109,1850,0,0.0000
convolution_46,12845056,cudnn_batch_norm_46,cudnn_batch_norm_backward_108,1832,0,0.0000
relu__43,12845056,convolution_47,convolution_backward_107,1822,2,0.1140
convolution_47,12845056,cudnn_batch_norm_47,cudnn_batch_norm_backward_107,1816,0,0.0000
relu__42,51380224,add__63,convolution_backward_108,1815,3,1.0547
relu__44,12845056,convolution_48,convolution_backward_106,1806,2,0.2400
convolution_48,51380224,cudnn_batch_norm_48,cudnn_batch_norm_backward_106,1800,0,0.0000
convolution_49,12845056,cudnn_batch_norm_49,cudnn_batch_norm_backward_105,1782,0,0.0000
relu__46,12845056,convolution_50,convolution_backward_104,1772,2,0.1146
convolution_50,12845056,cudnn_batch_norm_50,cudnn_batch_norm_backward_104,1766,0,0.0000
relu__45,51380224,add__67,convolution_backward_105,1765,3,1.0434
relu__47,12845056,convolution_51,convolution_backward_103,1756,2,0.1120
convolution_51,51380224,cudnn_batch_norm_51,cudnn_batch_norm_backward_103,1750,0,0.0000
convolution_52,12845056,cudnn_batch_norm_52,cudnn_batch_norm_backward_102,1732,0,0.0000
relu__49,12845056,convolution_53,convolution_backward_101,1722,2,0.1129
convolution_53,12845056,cudnn_batch_norm_53,cudnn_batch_norm_backward_101,1716,0,0.0000
relu__48,51380224,add__71,convolution_backward_102,1715,3,1.0536
relu__50,12845056,convolution_54,convolution_backward_100,1706,2,0.1116
convolution_54,51380224,cudnn_batch_norm_54,cudnn_batch_norm_backward_100,1700,0,0.0000
convolution_55,12845056,cudnn_batch_norm_55,cudnn_batch_norm_backward_99,1682,0,0.0000
relu__52,12845056,convolution_56,convolution_backward_98,1672,2,0.1150
convolution_56,12845056,cudnn_batch_norm_56,cudnn_batch_norm_backward_98,1666,0,0.0000
relu__51,51380224,add__75,convolution_backward_99,1665,3,1.0461
relu__53,12845056,convolution_57,convolution_backward_97,1656,2,0.1133
convolution_57,51380224,cudnn_batch_norm_57,cudnn_batch_norm_backward_97,1650,0,0.0000
convolution_58,12845056,cudnn_batch_norm_58,cudnn_batch_norm_backward_96,1632,0,0.0000
relu__55,12845056,convolution_59,convolution_backward_95,1622,2,0.1146
convolution_59,12845056,cudnn_batch_norm_59,cudnn_batch_norm_backward_95,1616,0,0.0000
relu__54,51380224,add__79,convolution_backward_96,1615,3,1.0475
relu__56,12845056,convolution_60,convolution_backward_94,1606,2,0.1133
convolution_60,51380224,cudnn_batch_norm_60,cudnn_batch_norm_backward_94,1600,0,0.0000
convolution_61,12845056,cudnn_batch_norm_61,cudnn_batch_norm_backward_93,1582,0,0.0000
relu__58,12845056,convolution_62,convolution_backward_92,1572,2,0.1130
convolution_62,12845056,cudnn_batch_norm_62,cudnn_batch_norm_backward_92,1566,0,0.0000
relu__57,51380224,add__83,convolution_backward_93,1565,3,1.0530
relu__59,12845056,convolution_63,convolution_backward_91,1556,2,0.1126
convolution_63,51380224,cudnn_batch_norm_63,cudnn_batch_norm_backward_91,1550,0,0.0000
convolution_64,12845056,cudnn_batch_norm_64,cudnn_batch_norm_backward_90,1532,0,0.0000
relu__61,12845056,convolution_65,convolution_backward_89,1522,2,0.1184
convolution_65,12845056,cudnn_batch_norm_65,cudnn_batch_norm_backward_89,1516,0,0.0000
relu__60,51380224,add__87,convolution_backward_90,1515,3,1.0533
relu__62,12845056,convolution_66,convolution_backward_88,1506,2,0.1133
convolution_66,51380224,cudnn_batch_norm_66,cudnn_batch_norm_backward_88,1500,0,0.0000
convolution_67,12845056,cudnn_batch_norm_67,cudnn_batch_norm_backward_87,1482,0,0.0000
relu__64,12845056,convolution_68,convolution_backward_86,1472,2,0.1150
convolution_68,12845056,cudnn_batch_norm_68,cudnn_batch_norm_backward_86,1466,0,0.0000
relu__63,51380224,add__91,convolution_backward_87,1465,3,1.0461
relu__65,12845056,convolution_69,convolution_backward_85,1456,2,0.1134
convolution_69,51380224,cudnn_batch_norm_69,cudnn_batch_norm_backward_85,1450,0,0.0000
convolution_70,12845056,cudnn_batch_norm_70,cudnn_batch_norm_backward_84,1432,0,0.0000
